Original Repo ID,Average Fork Lifespan (days),Fork Count,Forks >= 10,Contributions >= 10,Contributions < 10,Developers,Common Contributions,Forks - Contributions >= 10 - Developers,PR Count,PR Commits Count,Stars >= 10 PRs Count,Stars >= 10 and Unique Commits PRs Count,Stars >= 10 PRs Commits Count,Stars >= 10 and Unique Commits PRs Commits Count,Accepted PR avg lifetime per origin,Stars >= 10 and Unique Commits PR Accepted PR avg lifetime per origin,Forks Unique Commits Count + PR Commits Count,Fork's unique commits,Fork's commits from PR over all unique commits proportion
DaveGamble/cJSON,1137.05,3418,2,0,0,1,0,1,41,380,0,0,0,0,,,400,20,0.00%
AdAway/AdAway,3597.6,652,2,2,0,1,1,0,2100,3260,9,8,63,62,50.37,58.76,3283,23,72.94%
screetsec/TheFatRat,1894.06,2541,1,0,0,0,0,1,5,31,0,0,0,0,,,31,0,#DIV/0!
mattn/go-sqlite3,1843.94,1141,2,2,0,2,2,0,77,192,2,2,20,20,,,238,46,30.30%
baskerville/bspwm,2449.54,422,1,1,0,1,1,0,1,1,1,1,1,1,,,14,13,7.14%
videolan/vlc,1152.91,5595,2,1,0,2,1,0,2,6,2,2,6,6,,,33,27,18.18%
henrypp/memreduct,0,531,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
glfw/glfw,2644.59,5131,2,1,0,2,1,0,19,113,1,1,27,27,,,212,99,21.43%
antirez/kilo,1009.51,931,2,1,0,2,1,0,1,2,1,1,2,2,,,80,78,2.50%
redcanaryco/atomic-red-team,1833.32,2951,5,3,0,3,3,2,826,2092,22,22,118,118,2.25,2.25,2300,208,36.20%
erincatto/box2d,2472.02,1643,2,1,0,2,1,0,121,584,3,3,30,30,,,2658,2074,1.43%
irungentoo/toxcore,3093.22,990,3,3,0,3,3,0,39,223,33,33,146,146,3.37,3.37,3839,3616,3.88%
0xFA11/MultiplayerNetworkingResources,1852.08,514,5,3,0,2,2,2,5,15,5,4,15,14,5,6.19,17,2,87.50%
veracrypt/VeraCrypt,0,1146,0,0,0,0,0,0,3,16,0,0,0,0,,,16,0,#DIV/0!
libevent/libevent,2799.72,3340,3,0,0,3,0,0,31,73,0,0,0,0,,,95,22,0.00%
microsoft/react-native-code-push,1365.84,1487,5,2,0,5,2,0,552,1715,5,5,39,39,,,2384,669,5.51%
lua/lua,2459.95,1810,3,0,0,3,0,0,3,75,0,0,0,0,,,470,395,0.00%
winfsp/winfsp,2003.84,570,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
flightlessmango/MangoHud,0,374,0,0,0,0,0,0,20,77,0,0,0,0,,,77,0,#DIV/0!
VirusTotal/yara,3033.83,1517,3,3,0,3,3,0,137,563,6,6,8,8,23.68,23.68,601,38,17.39%
phpredis/phpredis,3588.79,2170,2,1,0,2,1,0,480,992,1,1,7,7,,,1066,74,8.64%
antirez/disque,0,549,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
eclipse-mosquitto/mosquitto,2483.37,2518,1,0,0,1,0,0,32,197,0,0,0,0,,,238,41,0.00%
bartobri/no-more-secrets,0,311,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
koekeishiya/skhd,0,233,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
n64decomp/sm64,1549.01,1084,5,2,0,5,2,0,7,55,7,7,55,55,,,485,430,11.34%
Ralim/IronOS,0,778,0,0,0,0,0,0,236,1655,0,0,0,0,,,1655,0,#DIV/0!
CTCaer/hekate,1836.44,583,4,1,0,4,1,0,2,2,2,2,2,2,3.47,3.47,174,172,1.15%
sqlite/sqlite,0,1355,0,0,0,0,0,0,1,30,0,0,0,0,,,30,0,#DIV/0!
wasm3/wasm3,0,501,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
Next-Flip/Momentum-Firmware,259.79,410,2,0,0,2,0,0,50,520,0,0,0,0,,,660,140,0.00%
happyfish100/fastdfs,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
immortalwrt/immortalwrt,686.3,2189,10,3,0,9,3,1,44,178,37,37,140,140,0.78,0.78,5116,4938,2.76%
jart/blink,0,252,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
unicorn-engine/unicorn,2390.62,1397,5,4,0,5,4,0,31,103,13,13,27,27,1.85,1.85,501,398,6.35%
telekom-security/tpotce,1185.31,1303,1,0,0,1,0,0,44,391,0,0,0,0,,,392,1,0.00%
htop-dev/htop,1183.78,535,1,0,0,1,0,0,11,22,0,0,0,0,,,94,72,0.00%
SanderMertens/flecs,717.8,595,1,1,0,1,1,0,615,2136,26,26,233,233,21.47,21.47,3522,1386,14.39%
EZLippi/Tinyhttpd,0,3901,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
libgit2/libgit2,2702,2494,4,4,0,4,4,0,1430,5283,162,162,562,562,7.65,7.65,6174,891,38.68%
shellphish/how2heap,733.22,1190,1,0,0,1,0,0,6,22,0,0,0,0,,,31,9,0.00%
phoboslab/qoi,1305.82,362,1,1,0,1,1,0,1,2,1,1,2,2,6.44,6.44,28,26,7.14%
Tencent/xLua,0,2492,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
hrvach/deskhop,0,254,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
henrypp/simplewall,0,599,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
shadowsocks/shadowsocks-libev,2362.53,6032,9,4,0,7,4,2,99,328,18,18,81,81,0.1,0.1,1006,678,10.67%
openssl/openssl,1990.68,5800,16,9,0,11,9,5,931,4333,787,787,2550,2550,59.1,59.1,17568,13235,16.15%
meetecho/janus-gateway,3196.94,1800,2,2,0,2,2,0,452,1989,2,2,26,26,,,3263,1274,2.00%
haad/proxychains,0,692,0,0,1,0,0,0,4,50,0,0,0,0,31.2,,50,0,#DIV/0!
ufrisk/pcileech,2520.63,925,1,1,0,1,1,0,2,22,1,1,21,21,,,43,21,50.00%
turanszkij/WickedEngine,788.92,700,2,2,0,2,2,0,613,3383,12,12,90,90,2.62,2.62,3482,99,47.62%
beanstalkd/beanstalkd,3555.46,847,2,0,0,1,0,1,96,148,0,0,0,0,,,241,93,0.00%
s-macke/VoxelSpace,0,329,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
SecWiki/windows-kernel-exploits,2204.56,2726,2,0,0,0,0,2,0,0,0,0,0,0,,,0,0,#DIV/0!
yanfeizhang/coder-kung-fu,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
fulldecent/system-bus-radio,3319.3,435,1,1,0,1,1,0,9,11,3,3,5,5,1.37,1.37,12,1,83.33%
nginx/nginx,1670.1,7680,7,1,0,7,1,0,14,184,2,2,2,2,110.62,110.62,449,265,0.75%
FreeRTOS/FreeRTOS,0,1879,2,0,0,0,0,2,45,251,0,0,0,0,,,251,0,#DIV/0!
mgba-emu/mgba,2524.27,792,5,1,0,4,1,1,5,139,1,1,30,30,,,813,674,4.26%
aircrack-ng/aircrack-ng,0,1194,0,0,0,0,0,0,23,234,0,0,0,0,,,234,0,#DIV/0!
Zelda64Recomp/Zelda64Recomp,482.29,301,2,0,0,2,0,0,131,494,0,0,0,0,,,552,58,0.00%
pwn20wndstuff/Undecimus,0,1325,0,0,0,0,0,0,18,164,0,0,0,0,,,164,0,#DIV/0!
ravynsoft/ravynos,0,234,0,0,0,0,0,0,30,187,0,0,0,0,,,187,0,#DIV/0!
klange/toaruos,4654.58,528,1,1,0,0,0,0,1,1,1,0,1,0,0.03,,1,0,#DIV/0!
asg017/sqlite-vec,111.75,336,2,1,0,2,1,0,5,34,1,1,1,1,,,52,18,5.26%
akopytov/sysbench,3439.01,1089,1,1,0,1,1,0,8,26,3,3,16,16,5.71,5.71,79,53,23.19%
RubyMetric/chsrc,0,263,0,0,0,0,0,0,22,41,0,0,0,0,,,41,0,#DIV/0!
machyve/xhyve,1945.48,359,3,3,0,2,2,0,6,46,6,4,46,18,841.88,686.38,85,39,31.58%
peng-zhihui/HelloWord-Keyboard,964.29,1066,1,0,0,1,0,0,1,1,0,0,0,0,,,12,11,0.00%
redis/hiredis,4426.5,1837,2,1,0,2,1,0,68,145,2,2,22,22,60.38,60.38,164,19,53.66%
mcmilk/7-Zip-zstd,1599.34,348,4,2,0,3,2,1,15,57,15,15,57,57,2.98,2.98,184,127,30.98%
peng-zhihui/HoloCubic,0,1265,0,0,0,0,0,0,2,5,0,0,0,0,,,5,0,#DIV/0!
EpicGamesExt/raddebugger,639.97,275,1,0,0,1,0,0,0,0,0,0,0,0,,,6,6,0.00%
rui314/8cc,2773.1,806,2,1,0,2,1,0,8,10,8,8,10,10,0.31,0.31,207,197,4.83%
nodejs/http-parser,2628.87,1510,2,0,0,2,0,0,3,4,0,0,0,0,,,29,25,0.00%
madler/zlib,2575.94,2419,2,1,0,2,1,0,5,94,3,3,34,34,,,296,202,14.41%
yourtion/30dayMakeOS,3404.1,1421,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
littlefs-project/littlefs,2774.29,900,1,1,0,1,1,0,112,506,1,1,30,30,,,653,147,16.95%
pawelsalawa/sqlitestudio,0,644,0,0,0,0,0,0,221,2420,0,0,0,0,,,2420,0,#DIV/0!
hathach/tinyusb,1676.11,1251,4,3,0,4,3,0,738,3997,26,26,121,121,5.21,5.21,4296,299,28.81%
microsoft/WinObjC,0,848,0,0,0,0,0,0,91,532,0,0,0,0,,,532,0,#DIV/0!
Serial-Studio/Serial-Studio,0,940,0,0,0,0,0,0,9,11,0,0,0,0,,,11,0,#DIV/0!
JoeDog/siege,0,394,0,0,0,0,0,0,1,7,0,0,0,0,,,7,0,#DIV/0!
neutrinolabs/xrdp,1548.4,2778,1,1,0,1,1,0,39,134,25,25,28,28,39.48,39.48,324,190,12.84%
Provenance-Emu/Provenance,2502.56,704,2,1,0,1,0,0,335,1753,11,0,91,0,58.67,,1966,213,0.00%
nanomsg/nanomsg,2998.68,1002,1,0,0,0,0,1,20,42,0,0,0,0,,,42,0,#DIV/0!
sparklemotion/nokogiri,0,939,0,0,0,0,0,0,846,1910,0,0,0,0,,,1910,0,#DIV/0!
nelhage/reptyr,0,233,0,0,0,0,0,0,19,35,0,0,0,0,,,35,0,#DIV/0!
haproxy/haproxy,0,888,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
google/ios-webkit-debug-proxy,0,484,0,0,0,0,0,0,16,39,0,0,0,0,,,39,0,#DIV/0!
Mbed-TLS/mbedtls,3174.9,2599,5,3,0,5,3,0,116,803,14,14,106,106,44.8,44.8,2928,2125,4.75%
jonls/redshift,2111.78,423,3,2,0,3,2,0,57,112,2,2,6,6,,,118,6,50.00%
vk-com/kphp-kdb,3247.68,211,1,0,0,1,0,0,0,0,0,0,0,0,,,42,42,0.00%
LumaTeam/Luma3DS,1642.89,579,6,4,0,6,4,0,33,154,13,13,72,72,29.86,29.86,603,449,13.82%
AFLplusplus/AFLplusplus,1421.08,1202,2,0,0,2,0,0,466,4214,0,0,0,0,,,4366,152,0.00%
olikraus/u8g2,0,1165,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
FASTSHIFT/X-TRACK,1506.75,1236,2,0,0,2,0,0,4,9,0,0,0,0,,,29,20,0.00%
peng-zhihui/HDMI-PI,0,876,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
zmap/zmap,3289.69,923,1,0,0,1,0,0,194,863,0,0,0,0,,,996,133,0.00%
RediSearch/RediSearch,0,567,0,0,0,0,0,0,5986,27087,0,0,0,0,,,27087,0,#DIV/0!
lpereira/lwan,0,569,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
moonlight-stream/moonlight-android,750.42,700,10,5,0,10,5,0,6,92,5,5,91,91,,,1543,1451,5.90%
cmus/cmus,0,503,0,0,0,0,0,0,3,3,0,0,0,0,,,3,0,#DIV/0!
ponylang/ponyc,0,431,0,0,0,0,0,0,1291,2861,0,0,0,0,,,2861,0,#DIV/0!
ldcsaa/HP-Socket,0,1811,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
Meituan-Dianping/Logan,0,889,0,0,0,0,0,0,106,150,0,0,0,0,,,150,0,#DIV/0!
Cisco-Talos/clamav,0,826,0,0,0,0,0,0,22,193,0,0,0,0,,,193,0,#DIV/0!
winfsp/sshfs-win,0,283,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
tmate-io/tmate,0,349,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
wszqkzqk/deepin-wine-ubuntu,0,877,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
hishamhm/htop,3323.03,554,2,1,0,2,1,0,7,35,1,1,20,20,,,1734,1699,1.16%
